T,Strike,Type,Market_Price,SSVI_Price,IV_Market,IV_SSVI,Delta,Gamma,Vega,Theta
0.0020990041815352766,71000.0,call,1670.78325,1670.862192994231,1.9880543110481503,1.9881165611243226,0.3809494292660236,5.758836872399341e-05,12.681612444812247,208.33915512985934
0.0020990041815352766,71500.0,call,1216.7660625,1495.2235819978232,1.7600893439330139,1.9881472168674392,0.351963481036521,5.609219477194881e-05,12.352328422044996,113.44580389614319
0.0020990041815352766,71500.0,put,87.1713,4366.4092316668175,0.00010000000000000002,1.9881472168674392,-0.648036518963479,5.609219477194881e-05,12.352328422044996,-5270.129419572941
0.0020990041815352766,72000.0,put,156.1819125,4733.315262065218,0.00010000000000000002,1.9881837099040551,-0.6759921915751509,5.432487400266796e-05,11.963357914788885,-5390.625154753477
0.0020990041815352766,72500.0,call,435.8565,1186.7214431332432,1.2744895711664315,1.9882259160664582,0.29719595508822844,5.2320997297358886e-05,11.522311211526286,-40.55803615050677
0.0020990041815352766,72500.0,put,301.4674125,5114.046052937461,0.00010000000000000002,1.9882259160664582,-0.7028040449117716,5.2320997297358886e-05,11.522311211526286,-5499.428017989787
0.0020990041815352766,73000.0,call,207.0318375,1052.5141640001202,1.0809250549480018,1.9882737140882312,0.27162131055698835,5.01170387456769e-05,11.037213161174485,-100.52785575386002
0.0020990041815352766,73000.0,put,562.9813125,5507.9082538719595,0.00010000000000000002,1.9882737140882312,-0.7283786894430117,5.01170387456769e-05,11.037213161174485,-5597.045216778239
0.0020990041815352766,73500.0,call,98.0677125,930.7129819592374,0.967152668658289,1.988326985523637,0.24735697137420348,4.7750376147085574e-05,10.516287751528859,-149.94788987800712
0.0048387302089325365,63000.0,call,10496.877375000002,8466.541865500963,3.2000717934274494,1.9056048747249912,0.8093411107724191,2.8241444660549043e-05,13.741550091352542,260.429924870845
0.0048387302089325365,69000.0,put,72.64275,2322.5686160544647,0.2123777201992922,1.4366091737210218,-0.4156670333738526,5.372328235481228e-05,19.706846592590626,-1448.7760408193474
0.0048387302089325365,69500.0,put,87.1713,2478.749330061961,0.15505950395132462,1.3930699830742508,-0.44351552988106757,5.610438051732295e-05,19.956559315325123,-1477.7107545572246
0.0048387302089325365,70000.0,call,2760.4245,2784.6230821516583,1.336552252662504,1.3485831672378341,0.5267834667929054,5.841093204683006e-05,20.11350844565751,-61.62010998676518
0.0048387302089325365,70000.0,put,119.86053749999999,2646.540044425441,0.08965525128347115,1.3485831672378341,-0.47321653320709456,5.841093204683006e-05,20.11350844565751,-1504.8559701617999
0.0048387302089325365,70500.0,put,163.44618749999998,2827.0810211995777,0.00010000000000000002,1.30307268654401,-0.5048708699634563,6.058304131512318e-05,20.157453868661616,-1529.927932776322
0.0048387302089325365,71000.0,call,1870.5508125000001,2123.973862976207,1.1300258299956674,1.2564567230653185,0.46143257956577477,6.254156816942898e-05,20.064681138463563,-88.77041006948087
0.0048387302089325365,71000.0,put,236.0889375,3021.671781853911,0.00010000000000000002,1.2564567230653185,-0.5385674204342252,6.254156816942898e-05,20.064681138463563,-1552.6239253898739
0.0048387302089325365,71500.0,call,1471.0156874999998,1816.2088580791387,1.033618628881092,1.2086486580032199,0.42562852939105333,6.418251441173607e-05,19.80764129372406,-98.46427218848481
0.0048387302089325365,71500.0,put,334.15665,3231.7972552588035,0.00010000000000000002,1.2086486580032199,-0.5743714706089467,6.418251441173607e-05,19.80764129372406,-1572.6266150815566
0.0048387302089325365,72000.0,call,1089.64125,1525.6769108605404,0.9313697489572507,1.1595594090669183,0.38769353718151367,6.537018869865065e-05,19.35480072653753,-105.14148531073046
0.0048387302089325365,72000.0,put,490.33856249999997,3459.155786342155,0.00010000000000000002,1.1595594090669183,-0.6123064628184863,6.537018869865065e-05,19.35480072653753,-1589.612655776481
0.0048387302089325365,72500.0,call,799.07025,1254.3164222564556,0.8586855212364766,1.1091022146045753,0.34767427588517325,6.592948094523371e-05,18.67098329885233,-108.48830757477506
0.0048387302089325365,72500.0,put,671.9454374999999,3705.6857760400235,0.00010000000000000002,1.1091022146045753,-0.6523257241148268,6.592948094523371e-05,18.67098329885233,-1603.268305613204
0.0048387302089325365,73000.0,call,562.9813125,1004.323732975623,0.7958586328288081,1.0572017727995129,0.30573068973994905,6.563852979100249e-05,17.71873402530506,-108.22758046099062
0.0048387302089325365,73000.0,put,944.3557500000001,3973.583565061148,0.00010000000000000002,1.0572017727995129,-0.694269310260051,6.563852979100249e-05,17.71873402530506,-1613.3164060720985
0.0048387302089325365,73500.0,call,374.1101625,778.1467800781829,0.7380462035685857,1.0038110525585673,0.26220027379079436,6.422521006678992e-05,16.461653955177198,-104.16361803482175
0.0048387302089325365,74000.0,call,250.6174875,578.4241714639465,0.7021322325828415,0.9489413832188452,0.2176895157749658,6.137528204706725e-05,14.871297058921725,-96.25392631015876
0.0048387302089325365,74500.0,call,163.44618749999998,407.81447486437537,0.673614016948311,0.892714690068433,0.1731923220365108,5.676806959260212e-05,12.939955087796113,-84.71701375163269
0.0048387302089325365,75000.0,call,101.69985,268.6274961783147,0.6477495516571459,0.8354497242939624,0.13021246283100563,5.0166696056073436e-05,10.701675575275214,-70.17691618653512
0.007578456236329797,66000.0,put,58.1142,171.60782602260406,0.5394382563114488,0.6859845163345331,-0.08433114361427796,3.5658575551039875e-05,9.782359162319135,-156.5399889922834
0.007578456236329797,67000.0,put,72.64275,290.90571975760577,0.4778699373325295,0.6859375637238821,-0.13034270006695436,4.8857015636452985e-05,13.4022224528406,-220.78555098272284
0.007578456236329797,68000.0,put,105.3319875,467.60381391249757,0.42705320674968117,0.6859007666834429,-0.19032071524717986,6.262682580064438e-05,17.17856921341489,-292.96692485253214
0.007578456236329797,69000.0,put,163.44618749999998,715.5958247439594,0.378088805611834,0.6858736989919166,-0.2636133401781894,7.531511413730194e-05,20.658157699060208,-367.2793338872788
0.007578456236329797,69500.0,put,207.0318375,870.1652702566171,0.35303563486038325,0.6858636860157908,-0.30456127675699163,8.070778947413396e-05,22.13698965059801,-403.1201506189125
0.007578456236329797,70000.0,put,261.5139,1046.7571530010537,0.3253461573303882,0.6858559546372526,-0.34779891699400545,8.520223511855925e-05,23.369488225018518,-436.9615479764227
0.007578456236329797,70500.0,put,334.15665,1246.2663043212706,0.29622370935583986,0.6858504570739107,-0.3927862683557021,8.863902263329696e-05,24.311944268490457,-468.0473817532764
0.007578456236329797,71000.0,call,2052.1576874999996,2004.4454846622975,0.7049800806316422,0.6858471466670903,0.5610765393844603,9.090134604912711e-05,24.932334838895876,-92.22473754011412
0.007578456236329797,71000.0,put,435.8565,1469.2800734828015,0.26643850123447194,0.6858471466670903,-0.43892346061553966,9.090134604912711e-05,24.932334838895876,-495.7402699711179
0.007578456236329797,71500.0,call,1743.426,1743.426007670918,0.6858459748073619,0.6858459778500895,0.5144240499449184,9.192144290363226e-05,25.212083068697808,-113.19634905559256
0.007578456236329797,71500.0,put,562.9813125,1716.0604879619932,0.22858162320985567,0.6858459778500895,-0.4855759500550816,9.192144290363226e-05,25.212083068697808,-519.5535401656879
0.007578456236329797,72000.0,call,1362.0515625,1506.1058187392628,0.6285319426145677,0.6858469061175149,0.46789877535502744,9.16835064219942e-05,25.146856223072383,-129.97309790737313
0.007578456236329797,72000.0,put,726.4275,1986.5401905009057,0.17605130814731124,0.6858469061175149,-0.5321012246449726,9.16835064219942e-05,25.146856223072383,-539.1719476965601
0.007578456236329797,72500.0,call,1053.319875,1292.097697218298,0.588958624619617,0.6858498879956505,0.4221248607479863,9.022298008218627e-05,24.74637217668947,-142.41952648702488
0.007578456236329797,72500.0,put,944.3557500000001,2280.3319604505086,0.00010000000000000002,0.6858498879956505,-0.5778751392520137,9.022298008218627e-05,24.74637217668947,-554.4600349553035
0.007578456236329797,73000.0,call,817.2309375,1100.7165650127135,0.5664536508558323,0.6858548810138207,0.37768386707711843,8.762247102087288e-05,24.033279132978485,-150.57605085916302
0.007578456236329797,73000.0,put,1198.605375,2596.75071971547,0.00010000000000000002,0.6858548810138207,-0.6223161329228816,8.762247102087288e-05,24.033279132978485,-565.4582180065331
0.007578456236329797,73500.0,call,617.463375,931.012114771609,0.546149046838331,0.6858618436767067,0.33509414251904457,8.40048151704101e-05,23.0412546412902,-154.64397590741086
0.007578456236329797,73500.0,put,1507.3370624999998,2934.846160944944,0.00010000000000000002,0.6858618436767067,-0.6649058574809554,8.40048151704101e-05,23.0412546412902,-572.3678017338725
0.007578456236329797,74000.0,call,454.01718750000003,781.8096386008874,0.5282428061946164,0.6858707354375772,0.2947948634904459,7.952404399007342e-05,21.812529424657825,-154.9615318376082
0.007578456236329797,74500.0,call,326.892375,651.7563117275422,0.5139548061559877,0.6858815166724015,0.25713537433341016,7.43551227549745e-05,20.395074444066683,-151.97361445614052
0.007578456236329797,75000.0,call,228.8246625,539.3701020721546,0.5013580152741391,0.6858941486548061,0.22236999306495459,6.868335037336086e-05,18.839695111921518,-146.1981668543903
0.007578456236329797,75500.0,call,163.4461875,443.0886137739726,0.4969441713733319,0.6859085935318461,0.1906580262720753,6.269424025520146e-05,17.197257268092923,-138.1920744135809
0.007578456236329797,76000.0,call,116.2284,361.3154913110611,0.494911142706102,0.6859248143005566,0.16206838615104613,5.656456029981572e-05,15.516230774318082,-128.51910915605745
0.007578456236329797,77000.0,call,58.1142,234.9855986223647,0.4955028657087878,0.6859624396155801,0.11413266147325768,4.450490920946669e-05,12.208816212139313,-106.29950041192754
0.010318182263727058,65000.0,put,65.378475,25.04989148068853,0.5888919982113862,0.5014858117883723,-0.018323612239490084,1.2146016683946901e-05,3.316502065927901,-24.24680118034996
0.010318182263727058,66000.0,put,87.1713,55.15703296673428,0.5485437943441702,0.501439233024195,-0.03671729621436681,2.1719157392052872e-05,5.929922692175655,-43.82514801636205
0.010318182263727058,67000.0,put,127.1248125,111.8923759322397,0.5167192310893438,0.5014004670289716,-0.06745752791864534,3.5269838574197614e-05,9.628883996839097,-72.10236432145203
