T,Strike,Type,Market_Price,SSVI_Price,Error_USD
0.002125023772829502,71000.0,call,1781.7318750000002,1892.659775596112,110.92790059611184
0.002125023772829502,71500.0,call,1309.0275000000001,1398.3561017111206,89.32860171112043
0.002125023772829502,71500.0,put,72.72375,5.036169084067069,-67.68758091593293
0.002125023772829502,72000.0,put,134.5389375,30.276991838810318,-104.26194566118969
0.002125023772829502,72500.0,call,472.704375,515.2398808772923,42.53550587729228
0.002125023772829502,72500.0,put,261.8055,119.54834080090586,-142.25715919909413
0.002125023772829502,73000.0,call,225.443625,225.44364199474876,1.6994748762044765e-05
0.002125023772829502,73000.0,put,509.06624999999997,328.56629819370573,-180.49995180629423
0.002125023772829502,73500.0,call,105.44943749999999,72.59614488082116,-32.85329261917883
0.004864749800226762,69000.0,put,65.451375,1.0068716483709181,-64.44450335162908
0.004864749800226762,69500.0,put,87.2685,3.22862375365861,-84.0398762463414
0.004864749800226762,70000.0,call,2836.22625,3000.9208435277396,164.69459352773947
0.004864749800226762,70000.0,put,109.08562500000001,9.200386404337905,-99.8852385956621
0.004864749800226762,70500.0,put,149.08368750000002,23.426637579716044,-125.65704992028398
0.004864749800226762,71000.0,call,1927.1793750000002,2049.161799553862,121.98242455386162
0.004864749800226762,71000.0,put,214.53506249999998,53.613193042986495,-160.92186945701349
0.004864749800226762,71500.0,call,1527.1987499999998,1608.4400168520297,81.24126685202987
0.004864749800226762,71500.0,put,305.43975000000006,110.9773356474052,-194.46241435259486
0.004864749800226762,72000.0,call,1145.3990625,1208.57814814234,63.17908564234017
0.004864749800226762,72000.0,put,454.5234375,209.20139224398008,-245.32204525601992
0.004864749800226762,72500.0,call,836.323125,863.0879392406277,26.764814240627743
0.004864749800226762,72500.0,put,636.3328125,361.7971086485486,-274.53570385145144
0.004864749800226762,73000.0,call,581.79,581.7900000351656,3.516561264405027e-08
0.004864749800226762,73000.0,put,872.6850000000001,578.5850947493309,-294.09990525066917
0.004864749800226762,73500.0,call,399.980625,367.8904976481681,-32.09012735183188
0.004864749800226762,73500.0,put,1163.58,862.7715176686033,-300.8084823313966
0.004864749800226762,74000.0,call,261.8055,217.06817052091355,-44.73732947908644
0.004864749800226762,74500.0,call,170.9008125,118.98407647339263,-51.91673602660737
0.004864749800226762,75000.0,call,101.81325,60.378739031219084,-41.43451096878091
0.0076044758276240226,67000.0,put,69.0875625,0.8390080335175583,-68.24855446648245
0.0076044758276240226,68000.0,put,101.81325,4.5434932191373605,-97.26975678086264
0.0076044758276240226,69000.0,put,156.3560625,19.310480893343083,-137.04558160665692
0.0076044758276240226,69500.0,put,192.7179375,36.56270971999675,-156.15522778000326
0.0076044758276240226,70000.0,put,247.26075000000003,65.62023377109927,-181.64051622890076
0.0076044758276240226,70500.0,put,319.98449999999997,111.91239139811478,-208.0721086018852
0.0076044758276240226,71000.0,call,2108.98875,2202.8926276056736,93.90387760567364
0.0076044758276240226,71000.0,put,418.1615625,181.83814423128206,-236.32341826871794
0.0076044758276240226,71500.0,call,1781.7318750000002,1805.3918277370467,23.659952737046524
0.0076044758276240226,71500.0,put,545.428125,282.24365081777796,-263.18447418222206
0.0076044758276240226,72000.0,call,1399.9321875,1444.9067031105733,44.974515610573235
0.0076044758276240226,72000.0,put,690.875625,419.6648326463983,-271.21079235360173
0.0076044758276240226,72500.0,call,1127.218125,1126.8033118051899,-0.41481319481022183
0.0076044758276240226,72500.0,put,909.046875,599.4677477961195,-309.5791272038805
0.0076044758276240226,73000.0,call,854.5040625,854.5040667981957,4.298195676710748e-06
0.0076044758276240226,73000.0,put,1145.3990625,825.0748092442445,-320.32425325575537
0.0076044758276240226,73500.0,call,654.5137500000001,628.9854926294101,-25.528257370589927
0.0076044758276240226,73500.0,put,1436.2940625,1097.4625415305782,-338.83152096942194
0.0076044758276240226,74000.0,call,472.704375,448.66862584545015,-24.035749154549876
0.0076044758276240226,74500.0,call,341.80162499999994,309.71838458847924,-32.083240411520705
0.0076044758276240226,75000.0,call,239.988375,206.66212072123017,-33.326254278769824
0.0076044758276240226,75500.0,call,170.9008125,133.16747691454293,-37.73333558545707
0.0076044758276240226,76000.0,call,119.9941875,82.80513145433451,-37.18905604566548
0.0076044758276240226,77000.0,call,58.178999999999995,28.710675123797046,-29.46832487620295
0.010344201855021282,65000.0,put,65.451375,0.6706964258172263,-64.78067857418277
0.010344201855021282,66000.0,put,79.99612499999999,2.755361865284357,-77.24076313471564
0.010344201855021282,67000.0,put,119.9941875,9.631534950932519,-110.36265254906748
0.010344201855021282,68000.0,put,167.264625,28.94832329332553,-138.31630170667447
0.010344201855021282,69000.0,put,247.26075000000003,75.60952238140726,-171.65122761859277
0.010344201855021282,70000.0,put,381.79968749999995,173.48994012327057,-208.30974737672938
0.010344201855021282,70500.0,put,454.5234375,251.2110207043297,-203.3124167956703
0.010344201855021282,71000.0,put,581.79,353.6479404070069,-228.14205959299306
0.010344201855021282,71500.0,call,1981.7221875,1990.4890197132409,8.766832213240832
0.010344201855021282,71500.0,put,727.2375000000001,484.7317278770861,-242.50577212291398
0.010344201855021282,72000.0,call,1618.1034375,1655.569527808555,37.46609030855507
0.010344201855021282,72000.0,put,909.046875,647.8401570085007,-261.2067179914993
0.010344201855021282,72500.0,call,1345.389375,1355.2054144157592,9.816039415759178
0.010344201855021282,72500.0,put,1127.218125,845.5039646518271,-281.714160348173
0.010344201855021282,73000.0,call,1090.85625,1090.8562508735413,8.735412393434672e-07
0.010344201855021282,73000.0,put,1363.5703125,1079.182722145706,-284.38759035429393
0.010344201855021282,73500.0,call,854.5040625,862.7889991040138,8.284936604013751
0.010344201855021282,73500.0,put,1636.284375,1349.14339141229,-287.14098358771
0.010344201855021282,74000.0,call,672.6946875,670.0754708896784,-2.619216610321587
0.010344201855021282,74000.0,put,1927.1793750000002,1654.4577842340732,-272.721590765927
0.010344201855021282,74500.0,call,509.06624999999997,510.7052380749665,1.6389880749665053
0.010344201855021282,75000.0,call,399.980625,381.7925141147025,-18.188110885297476
0.010344201855021282,75500.0,call,294.5311875,279.84293162488757,-14.688255875112418
0.010344201855021282,76000.0,call,214.53506249999998,201.04107803156148,-13.493984468438498
0.010344201855021282,77000.0,call,119.9941875,97.599721301719,-22.394466198280995
0.010344201855021282,78000.0,call,61.81518750000001,43.62561287358676,-18.189574626413247
0.015823653909815803,58000.0,call,14762.921250000001,14883.459155381315,120.53790538131398
0.015823653909815803,62000.0,put,54.542812500000004,0.5494973902209992,-53.993315109779005
0.015823653909815803,63000.0,put,69.0875625,1.7414588758948497,-67.34610362410515
0.015823653909815803,65000.0,call,7835.9840625,7915.594865875159,79.61080337515887
0.015823653909815803,65000.0,put,105.44943749999999,12.86236262308887,-92.58707487691112
0.015823653909815803,66000.0,call,6890.5753125,6935.820552045123,45.245239545122786
0.015823653909815803,66000.0,put,145.4475,30.334471819951887,-115.1130281800481
0.015823653909815803,67000.0,call,5908.8046875,5973.833831815864,65.02914431586396
0.015823653909815803,67000.0,put,203.6265,65.59417461758858,-138.03232538241141
0.015823653909815803,68000.0,call,5054.300625000001,5041.792343297035,-12.508281702966087
0.015823653909815803,68000.0,put,287.25881250000003,130.79910912563628,-156.45970337436376
0.015823653909815803,69000.0,call,4181.615624999999,4155.648576199332,-25.967048800667726
0.015823653909815803,69000.0,put,418.1615625,241.9017650548194,-176.2597974451806
0.015823653909815803,70000.0,call,3399.8353125,3333.797117248898,-66.03819525110202
0.015823653909815803,70000.0,put,618.151875,417.29672913129434,-200.85514586870568
0.015823653909815803,71000.0,call,2618.0550000000003,2594.550718789462,-23.504281210538466
0.015823653909815803,71000.0,put,872.6850000000001,675.296753698738,-197.38824630126203
